emoji,score
😂,"0,220968403775133"
❤,"0,746086956521739"
♥,"0,657614781634938"
😍,"0,677936782512974"
😭,"-0,093376764386537"
😘,"0,701754385964912"
😊,"0,644695543000628"
👌,"0,563760683760684"
💕,"0,632916666666667"
👏,"0,520547945205479"
😁,"0,449977158519872"
☺,"0,658098933074685"
♡,"0,669873417721519"
👍,"0,522114347357066"
😩,"-0,368362831858407"
🙏,"0,417803768680962"
✌,"0,464146023468057"
😏,"0,33245729303548"
😉,"0,464168310322156"
🙌,"0,560424966799469"
🙈,"0,432692307692308"
💪,"0,555713271823989"
😄,"0,42203147353362"
😒,"-0,374729241877256"
💃,"0,735863095238095"
💖,"0,713380839271576"
😃,"0,55804311774461"
😔,"-0,146058091286307"
😱,"0,190265486725664"
🎉,"0,739555555555556"
😜,"0,456038647342995"
☯,"0,001008064516129"
🌸,"0,652219873150106"
💜,"0,656017039403621"
💙,"0,732456140350877"
✨,"0,352594339622641"
😳,"0,017730496453901"
💗,"0,659090909090909"
★,"0,283816425120773"
█,"-0,032581453634085"
☀,"0,466921119592875"
😡,"-0,173280423280423"
😎,"0,493368700265252"
😢,"0,006675567423231"
💋,"0,693460490463215"
😋,"0,633514986376022"
🙊,"0,460689655172414"
😴,"-0,080779944289694"
🎶,"0,53922967189729"
💞,"0,74235807860262"
😌,"0,48421052631579"
🔥,"0,139784946236559"
💯,"0,120879120879121"
🔫,"-0,195364238410596"
💛,"0,712624584717608"
💁,"0,327868852459016"
💚,"0,659217877094972"
♫,"0,288930581613508"
😞,"-0,118421052631579"
😆,"0,411764705882353"
😝,"0,425403225806452"
😪,"-0,08091286307054"
�,"0,086864406779661"
😫,"-0,145610278372591"
😅,"0,17965367965368"
👊,"0,229257641921397"
💀,"-0,208333333333333"
😀,"0,571753986332574"
😚,"0,714622641509434"
😻,"0,623501199040767"
©,"0,117788461538462"
👀,"0,063414634146342"
💘,"0,688607594936709"
🐓,"0,028645833333333"
☕,"0,246073298429319"
👋,"0,416230366492147"
✋,"0,126984126984127"
🎊,"0,727272727272727"
🍕,"0,420454545454545"
❄,"0,510028653295129"
😥,"0,12316715542522"
😕,"-0,4"
💥,"0,148936170212766"
💔,"-0,121951219512195"
😤,"-0,211009174311927"
😈,"0,267692307692308"
►,"0,163076923076923"
✈,"0,419254658385093"
🔝,"0,478547854785479"
😰,"-0,019867549668874"
⚽,"0,622073578595318"
😑,"-0,31438127090301"
👑,"0,701342281879195"
😹,"0,142372881355932"
👉,"0,393835616438356"
🍃,"0,381443298969072"
🎁,"0,767361111111111"
😠,"-0,302083333333333"
🐧,"0,461267605633803"
☆,"0,432624113475177"
🍀,"0,287769784172662"
🎈,"0,725631768953069"
🎅,"0,321167883211679"
😓,"-0,080586080586081"
😣,"-0,214022140221402"
😐,"-0,392592592592593"
✊,"0,433333333333333"
😨,"-0,141263940520446"
😖,"-0,156716417910448"
💤,"0,374531835205993"
💓,"0,671814671814672"
👎,"-0,189922480620155"
💦,"0,476190476190476"
